"Id";"Name";"Account Name";"Login";"Password";"Pass Is Reset";"Dealer OPICS Id";"Dealer OPICS Name";"Flags";"Market State";"IB Is On";"IB Commission (pts)";"IB Password";"IP Filter On";"IP Filter";"Ext info";"Group For Hedge";"Don't check in PK";
"419";"arbk1";"ARBK";"arbk1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"31";"arec.bbg";"AREC";"arec.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"362";"arec1";"AREC";"arec1";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"293";"asan.bbg";"ASAN";"asan.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"428";"asan.fxp";"ASAN";"asan.fxp";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals, Don't validate";"Open";"No";"0";"";"No";"";"";"MDM Stream";"No";
"359";"asan1";"ASAN";"asan1";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"356";"aswi.bbg";"ASWI";"aswi.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"184";"aswi1";"ASWI";"aswi1";"";"No";"";"";"";"Open";"No";"0";"";"No";"81.89.210.219;192.168.203.15;192.168.205.15";"ARM SWISS BANK";"Clients narrow";"No";
"220";"aswi2";"ASWI";"aswi2";"";"No";"";"";"";"Open";"No";"0";"";"No";"81.89.210.219;192.168.203.15;192.168.205.15";"ARM SWISS BANK";"Clients narrow";"No";
"221";"aswi3";"ASWI";"aswi3";"";"No";"";"";"";"Open";"No";"0";"";"No";"81.89.210.219;192.168.203.15;192.168.205.15";"ARM SWISS BANK";"Clients narrow";"No";
"378";"avtb1";"AVTB";"avtb1";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"133";"avto1";"AVTO";"avto1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.66.96.0/24;192.168.203.16;192.168.205.16";"AVTOVAZ BANK";"Clients narrow";"No";
"406";"axgb1";"AXGB";"axgb1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"396";"baba.bbg";"BABA";"baba.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"395";"baba1";"BABA";"baba1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"Baltikums bank";"Clients narrow";"No";
"179";"bagr1";"BAGR";"bagr1";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"86.57.255.166;192.168.203.17;192.168.205.17";"Belagroprombank.02.09.2014";"Clients narrow";"No";
"10";"BBG";"BBG";"BBG";"";"";"";"";"";"Open";"No";"0";"";"No";"";"";" Not Set ";"No";
"8";"bbg1";"BBG";"bbg1";"";"";"";"";"Deleted";"Open";"No";"0";"";"No";"";"";"";"";
"37";"BBG2";"BBG";"BBG2";"";"";"";"";"";"Open";"No";"0";"";"No";"";"";" Not Set ";"No";
"383";"BBG3";"BBG3";"BBG3";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"";"FOK Quote";"No";
"38";"BBGC";"BBGC";"BBGC";"";"";"";"";"";"Open";"No";"0";"";"No";"";"";" Not Set ";"No";
"303";"bbrb1";"BBRB";"bbrb1";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"87.118.223.0/28;82.112.186.128/25;192.168.203.18;192.168.203.19;192.168.205.18;192.168.205.19";"";"Clients narrow";"No";
"304";"bbrb2";"BBRB";"bbrb2";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"87.118.223.0/28;82.112.186.128/25;192.168.203.18;192.168.203.19;192.168.205.18;192.168.205.19";"";"Clients narrow";"No";
"305";"bbrb3";"BBRB";"bbrb3";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"87.118.223.0/28;82.112.186.128/25;192.168.203.18;192.168.203.19;192.168.205.18;192.168.205.19";"";"Clients narrow";"No";
"105";"bcfb1";"BCFB";"bcfb1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"81.211.0.0/17; 212.248.72.131;192.168.203.20; 192.168.203.21;192.168.205.20; 192.168.205.21";"БАНК КОРПОРАТИВНОГО ФИНАНСИРОВАНИЯ";"Clients narrow";"No";
"263";"bcfb2";"BCFB";"bcfb2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"81.211.0.0/17; 212.248.72.131;192.168.203.20; 192.168.203.21;192.168.205.20; 192.168.205.21";"БАНК КОРПОРАТИВНОГО ФИНАНСИРОВАНИЯ";"Clients narrow";"No";
"431";"bcir1";"BCIR";"bcir1";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"290";"bfab.bbg";"BFAB";"bfab.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"206";"bfab1";"BFAB";"bfab1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"91.237.20.0/24; 217.119.21.218;192.168.203.22; 192.168.203.23;192.168.205.22; 192.168.205.23";"БФА Банк
тех.спец
a.doynyak@bfa.ru";"Clients narrow Crazy";"No";
"372";"bibx1";"BIBX";"bibx1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"73";"binb.bbg";"BINB";"binb.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"209";"binb1";"BINB";"binb1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.200.213.50;192.168.203.24;192.168.205.24";"BIN BANK";"Clients narrow";"No";
"181";"bitb1";"BITB";"bitb1";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"212.98.173.84;192.168.203.25;192.168.205.25";"";"Clients narrow";"No";
"324";"bnex.bbg";"BNEX";"bnex.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"197";"bnex1";"BNEX";"bnex1";"";"No";"";"";"No Better Prices";"Open";"No";"0";"";"Yes";"91.230.50.50;192.168.203.26;192.168.205.26";"Балтинвестбанк.Создан 17.09.2014.";"Clients middle Crazy";"No";
"273";"bocy.bbg";"BOCY";"bocy.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"93";"bocy.int";"BOCY";"bocy.int";"";"Yes";"";"";"No Better Prices, Don't validate";"Open";"No";"0";"";"No";"";"INT0: alias = BOCY";"Novm.int";"No";
"286";"boge.bbg";"BOGE";"boge.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"294";"bspb.bbg";"BSPB";"bspb.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"449";"bspb.ebsd2";"BSPB";"bspb.ebsd2";"";"Yes";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"EBSD2: alias = BSPB";"EBS Direct Onshore";"No";
"448";"bspb.ebsdfa";"BSPB";"bspb.ebsdfa";"";"Yes";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"EBSD FA: alias = BSPB";"EBS Direct FA";"No";
"94";"bstr1";"BSTR";"bstr1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"87.249.240.0/20;192.168.203.27;192.168.205.27";"";"Clients middle Crazy";"No";
"113";"bstr2";"BSTR";"bstr2";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"87.249.240.0/20;192.168.203.27;192.168.205.27";"";"Clients middle Crazy";"No";
"295";"btfb.bbg";"BTFB";"btfb.bbg";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"435";"cbkf.ebsd2";"CBKF";"cbkf.ebsd2";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"EBSD2: alias = CBKF";"EBS Direct Onshore";"No";
"434";"cbkf.ebsdfa";"CBKF";"cbkf.ebsdfa";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"EBSD FA: alias = CBKF";"EBS Direct FA";"No";
"346";"cbnn1";"CBNN";"cbnn1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"389";"cbnn2";"CBNN";"cbnn2";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"390";"cbnn3";"CBNN";"cbnn3";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"391";"cbnn4";"CBNN";"cbnn4";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"366";"cbya1";"DEFAULT";"cbya1";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"296";"ccbx.bbg";"CCBX";"ccbx.bbg";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"251";"cebm1";"CEBM";"cebm1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"10.123.81.36";"Кредит Европа Банка";"Clients narrow";"No";
"282";"cenv3";"CENV";"cenv3";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Viena Traders";"No";
"283";"cenv4";"CENV";"cenv4";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Viena Traders";"No";
"208";"chel.stp";"CHEL";"chel.stp";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"91.212.137.0/24;192.168.203.28;192.168.205.28";"";" Not Set ";"No";
"207";"chel1";"CHEL";"chel1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"194.33.94.0/24;192.168.203.29;192.168.205.29";"Челинд банк,создан 30.09";"Clients narrow";"No";
"219";"chel2";"CHEL";"chel2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"194.33.94.0/24;192.168.203.29;192.168.205.29";"Челинд банк,создан 30.09";"Clients narrow";"No";
"123";"cinb1";"CINB";"cinb1";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"81.3.191.90;192.168.203.30;192.168.205.30";"";"Clients narrow";"No";
"200";"corr";"CORR";"corr";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"";"";" Not Set ";"No";
"280";"cs.int";"CS";"cs.int";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"";"INT0: alias = CSMO";"VEST Stream";"No";
"339";"ctcm.bbg";"CTCM";"ctcm.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"Corporates BBG";"No";
"341";"ctcm.bbg non-trade";"CTCM";"ctcm.bbg non-trade";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"BBG0: enabled";"Corporates BBG";"No";
"445";"dbaz1";"DBAZ";"dbaz1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"20";"dcbs.bbg";"DCBS";"dcbs.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"230";"default";"DEFAULT";"default";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"233";"default.360t";"DEFAULT";"default.360t";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"360T: alias = default
360T_RFQ: alias = default";"FOK Quote";"No";
"235";"default.api";"DEFAULT.API";"default.api";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"MEIN Stream";"No";
"232";"default.bbg";"DEFAULT";"default.bbg";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"234";"default.fxp";"DEFAULT";"default.fxp";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"PSBF Stream";"No";
"231";"default.int";"DEFAULT";"default.int";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"INT0: alias = default";"Novm.int";"No";
"19";"Demo Stream";"Demo Stream";"demo_rzbm";"";"";"";"";"";"Indicative";"No";"0";"";"No";"";"";" Not Set ";"No";
"176";"demo_1";"Demo Stream";"demo_1";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients wide";"No";
"229";"eadb.bbg";"EADB";"eadb.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"95";"EBS";"EBS";"EBS";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";" Not Set ";"";
"400";"EBSD FA";"EBSD FA";"EBSD FA";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"";"EBS Direct FA";"No";
"398";"EBSD1";"EBSD1";"EBSD1";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"";"EBS Direct Offshore";"No";
"399";"EBSD2";"EBSD2";"EBSD2";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"";"EBS Direct Onshore";"No";
"405";"ecrb1";"ECRB";"ecrb1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"370";"expo.bbg";"EXPO";"expo.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"369";"expo1";"EXPO";"expo1";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"165";"fcbr1";"FCBR";"fcbr1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"";"Первый клиентский банк";"Clients narrow";"No";
"261";"fcbr2";"FCBR";"fcbr2";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"";"Первый клиентский банк";"Clients narrow";"No";
"55";"finp.bbg";"FINP";"finp.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"70";"finp.stp";"FINP";"finp.stp";"";"";"";"";"";"Indicative";"No";"0";"";"No";"";"";" Not Set ";"No";
"68";"finp1";"FINP";"finp1";"";"No";"";"";"";"Open";"No";"0";"";"No";"212.248.17.146;217.21.214.194;62.76.29.0/24;192.168.203.31;192.168.203.32;192.168.203.33;192.168.205.31;192.168.205.32;192.168.205.33";"";"Clients middle Crazy";"No";
"69";"finp2";"FINP";"finp2";"";"Yes";"";"";"";"Open";"No";"0";"";"No";"212.248.17.146;217.21.214.194;62.76.29.0/24;192.168.203.31;192.168.203.32;192.168.203.33;192.168.205.31;192.168.205.32;192.168.205.33";"";"Clients middle Crazy";"No";
"314";"foba.bbg";"FOBA";"foba.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"103";"foba1";"FOBA";"foba1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"94.79.8.52;192.168.203.34;192.168.205.34";"";"Clients narrow";"No";
"152";"frsh1";"FRSH";"frsh1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"194.99.116.244;192.168.203.35;192.168.205.35";"";"Clients narrow";"No";
"297";"gazb.bbg";"GAZB";"gazb.bbg";"";"Yes";"";"";"No Better Prices";"Indicative";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"202";"ggrn1";"GGRN";"ggrn1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"380";"ginb1";"GINB";"ginb1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"11";"glbx.bbg";"GLBX";"glbx.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"170";"glbx1";"GLBX";"glbx1";"";"No";"";"";"No Better Prices, Don't validate";"Open";"No";"0";"";"Yes";"194.59.186.11;192.168.203.36;192.168.205.36";"";"Clients narrow";"No";
